,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_es
0,en,1440331835121172487,15764644, SpeakerPelosi We need to take back our country before it falls harder   They are now petitioning the federal government to give the IRS full access to all of our bank accounts rich and poor,1440898063980236804,False, SpeakerPelosi We need to take back our country before it falls harder   They are now petitioning the federal government to give the IRS full access to all of our bank accounts rich and poor,2021-09-23T04:37:23.000Z,USA,@SpeakerPelosi We need to take back our country before it falls harder.  They are now petitioning the federal government to give the IRS full access to all of our bank accounts rich and poor,[],[],['SpeakerPelosi'],['https://t.co/eX8K3geYUK'],
1,en,1440331835121172487,15764644, SpeakerPelosi How about remembrance to all the American citizens you left behind in Afghanistan and our military who you sacrificed for your cause   How about that ,1440897738200256514,False, SpeakerPelosi How about remembrance to all the American citizens you left behind in Afghanistan and our military who you sacrificed for your cause   How about that ,2021-09-23T04:36:06.000Z,USA,@SpeakerPelosi How about remembrance to all the American citizens you left behind in Afghanistan and our military who you sacrificed for your cause.  How about that.,[],[],['SpeakerPelosi'],['https://t.co/6z1xlcqp0V'],
2,en,1440331835121172487,15764644, SpeakerPelosi So this administration is now asking the federal gov  to give the IRS direct access to your bank accounts that’s for everyone not just the wealthy   So there coming for our money too and won’t stop   Check and see if I’m right ,1440897379490832385,False, SpeakerPelosi So this administration is now asking the federal gov  to give the IRS direct access to your bank accounts that’s for everyone not just the wealthy   So there coming for our money too and won’t stop   Check and see if I’m right ,2021-09-23T04:34:40.000Z,USA,@SpeakerPelosi So this administration is now asking the federal gov. to give the IRS direct access to your bank accounts that’s for everyone not just the wealthy.  So there coming for our money too and won’t stop.  Check and see if I’m right?,[],[],['SpeakerPelosi'],['https://t.co/BVUox1L3c0'],
3,en,1440331835121172487,15764644, SpeakerPelosi History will not remember you in a good light   Your last two years are horrible  terrible and grievous  I praying you haven t destroyed our institutions  You fall very short of President Trump   Shame on you ,1440791589538787331,False, SpeakerPelosi History will not remember you in a good light   Your last two years are horrible  terrible and grievous  I praying you haven t destroyed our institutions  You fall very short of President Trump   Shame on you ,2021-09-22T21:34:18.000Z,USA,"@SpeakerPelosi History will not remember you in a good light.  Your last two years are horrible, terrible and grievous. I praying you haven't destroyed our institutions. You fall very short of President Trump.  Shame on you.",[],[],['SpeakerPelosi'],['https://t.co/1uaMOQyUgy'],
4,en,1440331835121172487,15764644, SpeakerPelosi If China didn’t release the Covid out it wouldn’t be any Covid and they and y’all democrats and Fauci is responsible for the deaths,1440734646090620938,False, SpeakerPelosi If China didn’t release the Covid out it wouldn’t be any Covid and they and y’all democrats and Fauci is responsible for the deaths,2021-09-22T17:48:01.000Z,USA,@SpeakerPelosi If China didn’t release the Covid out it wouldn’t be any Covid and they and y’all democrats and Fauci is responsible for the deaths,[],[],['SpeakerPelosi'],['https://t.co/yzrzCgxyBU'],
5,en,1440331835121172487,15764644, SpeakerPelosi Dear Nancy you keep Shining let people take out their anger  They are the ones that have issues  They should look in the mirror and see them self and pray ,1440690702950699010,False, SpeakerPelosi Dear Nancy you keep Shining let people take out their anger  They are the ones that have issues  They should look in the mirror and see them self and pray ,2021-09-22T14:53:24.000Z,USA,@SpeakerPelosi Dear Nancy you keep Shining let people take out their anger. They are the ones that have issues. They should look in the mirror and see them self and pray.,[],[],['SpeakerPelosi'],['https://t.co/fo9aPDGvaZ'],
6,en,1440331835121172487,15764644, SpeakerPelosi Hello  I am from AfghanistanThe Taliban are ready hereThere is war here every dayWe all became unemployedOur economy is devastatedPlease help us as much as you can,1440682940157943812,False, SpeakerPelosi Hello  I am from AfghanistanThe Taliban are ready hereThere is war here every dayWe all became unemployedOur economy is devastatedPlease help us as much as you can,2021-09-22T14:22:34.000Z,USA,"@SpeakerPelosi Hello, I am from Afghanistan

The Taliban are ready here

There is war here every day

We all became unemployed

Our economy is devastated

Please help us as much as you can",[],[],['SpeakerPelosi'],['https://t.co/q7ZJ33S0q4'],
7,en,1440331835121172487,15764644, SpeakerPelosi So many of these deaths were preventable  totally unnecessary  Commemorating those who died because they refused to be vaccinated is difficult  how many spread the deadly virus to others We have responsibility for each other,1440678723452166158,False, SpeakerPelosi So many of these deaths were preventable  totally unnecessary  Commemorating those who died because they refused to be vaccinated is difficult  how many spread the deadly virus to others We have responsibility for each other,2021-09-22T14:05:48.000Z,USA,"@SpeakerPelosi So many of these deaths were preventable, totally unnecessary. Commemorating those who died because they refused to be vaccinated is difficult- how many spread the deadly virus to others?
We have responsibility for each other",[],[],['SpeakerPelosi'],['https://t.co/0bXTIcSSZK'],
8,en,1440331835121172487,15764644, SpeakerPelosi Can anyone understand what she is trying to say ,1440673594787254273,False, SpeakerPelosi Can anyone understand what she is trying to say ,2021-09-22T13:45:26.000Z,USA,@SpeakerPelosi Can anyone understand what she is trying to say?,[],[],['SpeakerPelosi'],[],
9,en,1440331835121172487,15764644, SpeakerPelosi What the Biden Admin  DHS Mayorkas  and HHS says in publicIS NOT what they are doing being the scenes Many of those 15 000  migrants are being set free into the U S Thousands of Haitian migrants camped in Texas town being let into US  report sayshttps   t co WY6my53IVQ,1440638279221579790,False, SpeakerPelosi What the Biden Admin  DHS Mayorkas  and HHS says in publicIS NOT what they are doing being the scenes Many of those 15 000  migrants are being set free into the U S Thousands of Haitian migrants camped in Texas town being let into US  report sayshttps   t co WY6my53IVQ,2021-09-22T11:25:06.000Z,USA,"@SpeakerPelosi What the Biden Admin, DHS Mayorkas, and HHS says in public

IS NOT what they are doing being the scenes 

Many of those 15,000+ migrants are being set free into the U.S.

Thousands of Haitian migrants camped in Texas town being let into US, report says
https://t.co/WY6my53IVQ",[],[],['SpeakerPelosi'],['https://t.co/OYiexvcCue'],
