,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date,text_hi,text_es
0,en,ShashiTharoor,24705126,True,1440552002228875270,"The amazing story of a ten-year-old Indian boy in a Dutch painting from 1697, &amp; what ""Filander van Bengalen"" reveals of the hidden history of early colonial slavery: https://t.co/aGeZzrOhpi",[],[],[],['https://t.co/aGeZzrOhpi'],India,The amazing story of a ten year old Indian boy in a Dutch painting from 1697   amp  what  Filander van Bengalen  reveals of the hidden history of early colonial slavery  https   t co aGeZzrOhpi,2021-09-22 06:00:00,,
1,en,ShashiTharoor,24705126,True,1440548476832534528,"This is the book I am no longer launching in person in London, but I hope readers in the UK and the US will read it anyway! https://t.co/YF0arZQbOA",[],[],[],['https://t.co/YF0arZQbOA'],India,This is the book I am no longer launching in person in London  but I hope readers in the UK and the US will read it anyway  https   t co YF0arZQbOA,2021-09-22 05:00:00,,
2,en,ShashiTharoor,24705126,True,1440543841908453380,Thanks @vdsatheesan for doing this with @AIPCTVM1 @ProfCong https://t.co/wg1fMCBweK,[],[],"['vdsatheesan', 'AIPCTVM1', 'ProfCong']",['https://t.co/wg1fMCBweK'],India,Thanks  vdsatheesan for doing this with  AIPCTVM1  ProfCong https   t co wg1fMCBweK,2021-09-22 05:00:00,,
3,en,ShashiTharoor,24705126,True,1440539984268726280,"Amazing young girl! Will definitely connect with her face-to-face, @Vishnu_Prazad . https://t.co/WzhyfAaafW",[],[],['Vishnu_Prazad'],['https://t.co/WzhyfAaafW'],India,Amazing young girl  Will definitely connect with her face to face   Vishnu Prazad   https   t co WzhyfAaafW,2021-09-22 05:00:00,,
4,en,ShashiTharoor,24705126,True,1440391843305320461,My article in @TheQuint on Britain's imperial quarantine policy for fullly-vaccinated Indians &amp; why it's right for us to be outraged about it: https://t.co/2vL7qyVR9s,[],[],['TheQuint'],['https://t.co/2vL7qyVR9s'],India,My article in  TheQuint on Britain s imperial quarantine policy for fullly vaccinated Indians  amp  why it s right for us to be outraged about it  https   t co 2vL7qyVR9s,2021-09-21 19:00:00,,
5,en,ShashiTharoor,24705126,True,1440377244858269700,"Amongst many meetings with constituents today, was pleased to receive a visit from Ambassador Vidhu Nair, India’s man in Turkmenistan, who is on Home Leave in Thiruvananthapuram. He enlightened me on the fascinating (&amp; challenging) geopolitics of Central Asia https://t.co/zARyG1wAoC",[],[],[],[],India,Amongst many meetings with constituents today  was pleased to receive a visit from Ambassador Vidhu Nair  India’s man in Turkmenistan  who is on Home Leave in Thiruvananthapuram  He enlightened me on the fascinating   amp  challenging  geopolitics of Central Asia https   t co zARyG1wAoC,2021-09-21 18:00:00,,
6,en,ShashiTharoor,24705126,True,1440376677482123265,"Found myself in conversation with spiritual leaders of multiple faiths at today’s church event, as well as sandwiched between two stalwart Communists, EducationMinister ⁦@VSivankuttyCPIM⁩ &amp; former Minister ⁦@kadakampalli⁩ Surendran, both MLAs from Thiruvananthapuram https://t.co/P8Nrl6Hizz",[],[],"['VSivankuttyCPIM', 'kadakampalli']",[],India,Found myself in conversation with spiritual leaders of multiple faiths at today’s church event  as well as sandwiched between two stalwart Communists  EducationMinister ⁦ VSivankuttyCPIM⁩  amp  former Minister ⁦ kadakampalli⁩ Surendran  both MLAs from Thiruvananthapuram https   t co P8Nrl6Hizz,2021-09-21 18:00:00,,
7,en,ShashiTharoor,24705126,True,1440375880421830661,"Privileged to be w/an impressive galaxy of spiritual leaders from all of Kerala’s many faiths at the inauguration of the new St John Paul II Malankara Catholic Church in Mannanthala, Thiruvananthapuram. Spoke of how our collective presence showcased Kerala’s strength, its unity https://t.co/ifNSH05pVP",[],[],[],[],India,Privileged to be w an impressive galaxy of spiritual leaders from all of Kerala’s many faiths at the inauguration of the new St John Paul II Malankara Catholic Church in Mannanthala  Thiruvananthapuram  Spoke of how our collective presence showcased Kerala’s strength  its unity https   t co ifNSH05pVP,2021-09-21 18:00:00,,
8,en,ShashiTharoor,24705126,True,1440374674517491712,An intensive two-hour “Meet the Public” session at the Thiruvananthapuram District Congress Committee office (conducted with appropriate Covid protocols and masking) gave me a chance to receive a number of petitions and even to sign a book for a devoted reader. https://t.co/3bWhcLD3NU,[],[],[],[],India,An intensive two hour “Meet the Public” session at the Thiruvananthapuram District Congress Committee office  conducted with appropriate Covid protocols and masking  gave me a chance to receive a number of petitions and even to sign a book for a devoted reader  https   t co 3bWhcLD3NU,2021-09-21 18:00:00,,
9,en,ShashiTharoor,24705126,True,1440373881844371462,"Conducted a virtual launch of the website of the DC School of Architecture and Design, Thiruvananthapuram, &amp; announced the top winners of scholarships for the B.Arch programme. My congratulations to ⁦@ravideecee⁩ on this commendable initiative. https://t.co/iWb9aaUbOG",[],[],['ravideecee'],[],India,Conducted a virtual launch of the website of the DC School of Architecture and Design  Thiruvananthapuram   amp  announced the top winners of scholarships for the B Arch programme  My congratulations to ⁦ ravideecee⁩ on this commendable initiative  https   t co iWb9aaUbOG,2021-09-21 18:00:00,,
10,en,ShashiTharoor,24705126,True,1440317838544162817,"The IndianArmy has long been above the divisions in our society, rising above religion, caste &amp; region in a glorious affirmation of national unity. @rwac48 is right to tell KaranThapar that recent events have seriously compromised its sacrosanct tradition: https://t.co/lwHasIeREQ",[],[],['rwac48'],['https://t.co/lwHasIeREQ'],India,The IndianArmy has long been above the divisions in our society  rising above religion  caste  amp  region in a glorious affirmation of national unity   rwac48 is right to tell KaranThapar that recent events have seriously compromised its sacrosanct tradition  https   t co lwHasIeREQ,2021-09-21 14:00:00,,
11,en,ShashiTharoor,24705126,True,1440228780652388368,"Inaugurated a new library at the premises of the Thiruvananthapuram District Congress Committee office, interacted with students in the audience &amp; presented a couple of my own books in Malayalam to the DCC. Good to see ⁦@INCKerala⁩ as a fount of political ideas &amp; history. https://t.co/aYsTAYLh33",[],[],['INCKerala'],[],India,Inaugurated a new library at the premises of the Thiruvananthapuram District Congress Committee office  interacted with students in the audience  amp  presented a couple of my own books in Malayalam to the DCC  Good to see ⁦ INCKerala⁩ as a fount of political ideas  amp  history  https   t co aYsTAYLh33,2021-09-21 08:00:00,,
12,en,ShashiTharoor,24705126,True,1440152337079672832,"Remembering the greatest Keralite of all time, according to a 1999 poll — who reclaimed the essence of religion from the few, declared his faith in “one caste, one God” &amp; declared, “whatever his religion, it is enough that a man be good”. #SreeNarayanaGuru https://t.co/GWyWZOCJ7n",[],['SreeNarayanaGuru'],[],[],India,Remembering the greatest Keralite of all time  according to a 1999 poll — who reclaimed the essence of religion from the few  declared his faith in “one caste  one God”  amp  declared  “whatever his religion  it is enough that a man be good”   SreeNarayanaGuru https   t co GWyWZOCJ7n,2021-09-21 03:00:00,,
13,en,ShashiTharoor,24705126,True,1440015651288936448,"India is reportedly considering resuming its vaccine exports. Vaccine diplomacy would be the right thing to do, provided production is ramped up at home to ensure every Indian who wants to can be fully vaccinated. Currently only 15% have taken two shots.
https://t.co/UluFErb9Mt",['xp'],[],[],['https://t.co/UluFErb9Mt'],India,India is reportedly considering resuming its vaccine eorts  Vaccine diplomacy would be the right thing to do  provided production is ramped up at home to ensure every Indian who wants to can be fully vaccinated  Currently only 15  have taken two shots https   t co UluFErb9Mt,2021-09-20 18:00:00,,
