,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_hi,text_es
0,en,1438701204893159427,1447949844, AmitShah Haa  haa  i see comments  some people are very much struggling to prove nizams cruality as greatness  Some are saying gold donation  I m asking from where he got that gold   Does he got gold by doing hard work   Don t try to manipulate history   HyderabadLiberationDay,1439441948553584645,False, AmitShah Haa  haa  i see comments  some people are very much struggling to prove nizams cruality as greatness  Some are saying gold donation  I m asking from where he got that gold   Does he got gold by doing hard work   Don t try to manipulate history   HyderabadLiberationDay,2021-09-19T04:11:18.000Z,India,"@AmitShah Haa..haa..i see comments..some people are very much struggling to prove nizams cruality as greatness..
Some are saying gold donation..I'm asking from where he got that gold ? Does he got gold by doing hard work ? Don't try to manipulate history..

#HyderabadLiberationDay",[],[],['AmitShah'],['https://t.co/GLlD0ON74i'],,
1,en,1438701204893159427,1447949844, KiranChapala  AmitShah Hahahaha Broh whr r uh 4m first go n check it out history   ,1439280806413815812,False, KiranChapala  AmitShah Hahahaha Broh whr r uh 4m first go n check it out history   ,2021-09-18T17:30:59.000Z,India,@KiranChapala @AmitShah Hahahaha Broh whr r uh 4m first go n check it out history...,[],[],"['KiranChapala', 'AmitShah']",[],,
2,hi,1438701204893159427,1447949844, AmitShah मेरे पास पैसे नहीं हैं 75000 करोड़ बिहार गांव लालबीघा विभिन्न राज्यों से चोरी। ग्राहक सेवा बिंदु 2017 2021 लालबीघा गांव से लोगों को गिरफ्तार करें और बिहार के सीएम नीतीश कुमार को तुरंत गिरफ्तार करें भाजपा पूरे भारत में शासन करती है ,1439259288719937540,False,,2021-09-18T16:05:29.000Z,India,@AmitShah मेरे पास पैसे नहीं हैं 75000 करोड़ बिहार गांव लालबीघा विभिन्न राज्यों से चोरी। ग्राहक सेवा बिंदु 2017 2021 लालबीघा गांव से लोगों को गिरफ्तार करें और बिहार के सीएम नीतीश कुमार को तुरंत गिरफ्तार करें भाजपा पूरे भारत में शासन करती है 🇮🇳,['🇮🇳'],[],['AmitShah'],['https://t.co/mQVu4LkvV6'], AmitShah मेरे पास पैसे नहीं हैं 75000 करोड़ बिहार गांव लालबीघा विभिन्न राज्यों से चोरी। ग्राहक सेवा बिंदु 2017 2021 लालबीघा गांव से लोगों को गिरफ्तार करें और बिहार के सीएम नीतीश कुमार को तुरंत गिरफ्तार करें भाजपा पूरे भारत में शासन करती है ,
3,en,1438701204893159427,1447949844, AmitShah 6 lakhs peoples death  in police actionSham on home ministerYou say celebrate liberation day,1439182740973240323,False, AmitShah 6 lakhs peoples death  in police actionSham on home ministerYou say celebrate liberation day,2021-09-18T11:01:18.000Z,India,"@AmitShah 6 lakhs peoples death' in police action
Sham on home minister
You say celebrate liberation day",[],[],['AmitShah'],[],,
4,en,1438701204893159427,1447949844, Mohamme71401814  AmitShah Nizam are just looters  They looted their own people  Just like taliban ,1439052122255855617,False, Mohamme71401814  AmitShah Nizam are just looters  They looted their own people  Just like taliban ,2021-09-18T02:22:16.000Z,India,@Mohamme71401814 @AmitShah Nizam are just looters. They looted their own people. Just like taliban.,[],[],"['Mohamme71401814', 'AmitShah']",[],,
5,en,1438701204893159427,1447949844, aKa3zLYxZ10H3fB  AmitShah Lol  what are students demanding by the way  Would you care to elaborate ,1439049714947661827,False, aKa3zLYxZ10H3fB  AmitShah Lol  what are students demanding by the way  Would you care to elaborate ,2021-09-18T02:12:42.000Z,India,"@aKa3zLYxZ10H3fB @AmitShah Lol, what are students demanding by the way? Would you care to elaborate?",[],[],"['aKa3zLYxZ10H3fB', 'AmitShah']",[],,
6,en,1438701204893159427,1447949844, GSRNationalist  AmitShah Jai hind,1438955754115923970,False, GSRNationalist  AmitShah Jai hind,2021-09-17T19:59:20.000Z,India,@GSRNationalist @AmitShah Jai hind,[],[],"['GSRNationalist', 'AmitShah']",[],,
7,en,1438701204893159427,1447949844, AmitShah Bhai aap char class padlo   Nation will always remain indebted for  Nizams Mir Osman Ali Khan sahab,1438934002627276802,False, AmitShah Bhai aap char class padlo   Nation will always remain indebted for  Nizams Mir Osman Ali Khan sahab,2021-09-17T18:32:54.000Z,India,"@AmitShah Bhai aap char class padlo 🤭🤦‍♂️🤷‍♂️.
#Nation will always remain indebted for #Nizams Mir Osman Ali Khan sahab","['🤷\u200d♂️', '🤦\u200d♂️', '🤭']","['Nation', 'Nizams']",['AmitShah'],[],,
8,hi,1438701204893159427,1447949844, AmitShah  bouquet1416 २३अगस्त१९४५ में विमान दुर्घटना में नेताजी सुभाष चन्द्र बोस जी की मृत्यु की खबर एक अखवार में प्रकाशित हुआ था। उसी अखवार को नेताजी खुद अपने हाथों में लिए खुद की मृत्यु खबर पढ़ते हुए। नेहरू गांधी ने अपने स्वार्थ के लिए अंग्रेजों के साथ मिलकर नेताजी को गुमनामी के अंधेरे में धकेल दिया https   t co 6ojjc4QRR5,1438912281136418818,False,,2021-09-17T17:06:36.000Z,India,@AmitShah @bouquet1416 २३अगस्त१९४५ में विमान दुर्घटना में नेताजी सुभाष चन्द्र बोस जी की मृत्यु की खबर एक अखवार में प्रकाशित हुआ था। उसी अखवार को नेताजी खुद अपने हाथों में लिए खुद की मृत्यु खबर पढ़ते हुए। नेहरू गांधी ने अपने स्वार्थ के लिए अंग्रेजों के साथ मिलकर नेताजी को गुमनामी के अंधेरे में धकेल दिया https://t.co/6ojjc4QRR5,[],[],"['AmitShah', 'bouquet1416']",['https://t.co/4azDaVQGJh'], AmitShah  bouquet1416 २३अगस्त१९४५ में विमान दुर्घटना में नेताजी सुभाष चन्द्र बोस जी की मृत्यु की खबर एक अखवार में प्रकाशित हुआ था। उसी अखवार को नेताजी खुद अपने हाथों में लिए खुद की मृत्यु खबर पढ़ते हुए। नेहरू गांधी ने अपने स्वार्थ के लिए अंग्रेजों के साथ मिलकर नेताजी को गुमनामी के अंधेरे में धकेल दिया https   t co 6ojjc4QRR5,
9,en,1438701204893159427,1447949844, AmitShah New Ganapati Bappa song 2021  Dear all please share it in your friend circle https   t co AtRlmXAUXV,1438911197995098122,False, AmitShah New Ganapati Bappa song 2021  Dear all please share it in your friend circle https   t co AtRlmXAUXV,2021-09-17T17:02:17.000Z,India,"@AmitShah New Ganapati Bappa song 2021. Dear all please share it in your friend circle.
https://t.co/AtRlmXAUXV",[],[],['AmitShah'],['https://t.co/AtRlmXAUXV'],,
10,en,1438701204893159427,1447949844, AmitShah  mla sudhakar what is that u liked  THIS HM SHOULD ALSO  Greet people of Kalyan Karnataka region that was under  Nizam of Hyderabad  MAD CAPS,1438904679195308032,False, AmitShah  mla sudhakar what is that u liked  THIS HM SHOULD ALSO  Greet people of Kalyan Karnataka region that was under  Nizam of Hyderabad  MAD CAPS,2021-09-17T16:36:23.000Z,India,"@AmitShah @mla_sudhakar what is that u liked? THIS HM SHOULD ALSO 
'Greet people of Kalyan Karnataka region that was under  Nizam of Hyderabad. 
MAD CAPS",[],[],"['AmitShah', 'mla_sudhakar']",['https://t.co/0CYLd0yb1t'],,
11,en,1438701204893159427,1447949844, AmitShah Bjp don t have anything left to deviate minds of people of Telangana   so they r now studying history of Telangana   BJP se desh ko bachana hai,1438903304755441664,False, AmitShah Bjp don t have anything left to deviate minds of people of Telangana   so they r now studying history of Telangana   BJP se desh ko bachana hai,2021-09-17T16:30:56.000Z,India,@AmitShah Bjp don't have anything left to deviate minds of people of Telangana.. so they r now studying history of Telangana.. BJP se desh ko bachana hai,[],[],['AmitShah'],['https://t.co/om6y7BlCBh'],,
