,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_hi,text_es
0,en,1440391843305320461,24705126, ShashiTharoor  TheQuint Aren’t you stirring up a storm to sell your new book just like what you did it before  It is a shame you don’t even appreciate that Covid vaccine made by Bristish scientists is protecting half billion indians and many others in the world   Changing travel policy is not UK law ,1440554106376970255,False, ShashiTharoor  TheQuint Aren’t you stirring up a storm to sell your new book just like what you did it before  It is a shame you don’t even appreciate that Covid vaccine made by Bristish scientists is protecting half billion indians and many others in the world   Changing travel policy is not UK law ,2021-09-22T05:50:37.000Z,India,@ShashiTharoor @TheQuint Aren’t you stirring up a storm to sell your new book just like what you did it before? It is a shame you don’t even appreciate that Covid vaccine made by Bristish scientists is protecting half billion indians and many others in the world.  Changing travel policy is not UK law!,[],[],"['ShashiTharoor', 'TheQuint']",['https://t.co/FSC9Ekpdif'],,
1,en,1440391843305320461,24705126, DipankarDoc  ShashiTharoor  TheQuint And you think it is hard to fake anything in the UK or US ,1440553889330122758,False, DipankarDoc  ShashiTharoor  TheQuint And you think it is hard to fake anything in the UK or US ,2021-09-22T05:49:46.000Z,India,@DipankarDoc @ShashiTharoor @TheQuint And you think it is hard to fake anything in the UK or US.,[],[],"['DipankarDoc', 'ShashiTharoor', 'TheQuint']",[],,
2,en,1440391843305320461,24705126, ShashiTharoor  TheQuint The British supremacy theory ,1440553572219834374,False, ShashiTharoor  TheQuint The British supremacy theory ,2021-09-22T05:48:30.000Z,India,@ShashiTharoor @TheQuint The British supremacy theory!,[],[],"['ShashiTharoor', 'TheQuint']",[],,
3,en,1440391843305320461,24705126, DipankarDoc  ShashiTharoor  TheQuint So can the pieces of card sized hand written chits issued in USAhttps   t co K34l7Pe91V,1440550950276517900,False, DipankarDoc  ShashiTharoor  TheQuint So can the pieces of card sized hand written chits issued in USAhttps   t co K34l7Pe91V,2021-09-22T05:38:05.000Z,India,"@DipankarDoc @ShashiTharoor @TheQuint So can the pieces of card sized hand-written chits issued in USA
https://t.co/K34l7Pe91V",[],[],"['DipankarDoc', 'ShashiTharoor', 'TheQuint']",['https://t.co/K34l7Pe91V'],,
4,en,1440391843305320461,24705126, ShashiTharoor  TheQuint What about this  Thinking https   t co FVuB5g2DKrby  Indian Government  As long as  4PillarsOfIndianDemocracy afraid to question dictatorship of  NarendraModi  INDIA  Indians should be ready to face many more such global humiliations Thank you  FbdnStories for following me  https   t co xjgRJQVW6W,1440540341828915206,False, ShashiTharoor  TheQuint What about this  Thinking https   t co FVuB5g2DKrby  Indian Government  As long as  4PillarsOfIndianDemocracy afraid to question dictatorship of  NarendraModi  INDIA  Indians should be ready to face many more such global humiliations Thank you  FbdnStories for following me  https   t co xjgRJQVW6W,2021-09-22T04:55:56.000Z,India,"@ShashiTharoor @TheQuint What about this ""Thinking""
https://t.co/FVuB5g2DKr
by ""Indian Government""?

As long as #4PillarsOfIndianDemocracy afraid to question dictatorship of #NarendraModi, INDIA/ Indians should be ready to face many more such global humiliations?

Thank you @FbdnStories for following me. https://t.co/xjgRJQVW6W",[],[],"['ShashiTharoor', 'TheQuint']","['https://t.co/FVuB5g2DKr', 'https://t.co/7399hDEpXE']",,
5,en,1440391843305320461,24705126, ShashiTharoor  TheQuint It s a proof that india is on lease for 99 years  until the year 2046  and still the part of British commonwealth  colonies governed by the British monarch  so independence is just a  transfer of power  to local people we are still the SLAVES to Britishers with proof you got ,1440529870010810370,False, ShashiTharoor  TheQuint It s a proof that india is on lease for 99 years  until the year 2046  and still the part of British commonwealth  colonies governed by the British monarch  so independence is just a  transfer of power  to local people we are still the SLAVES to Britishers with proof you got ,2021-09-22T04:14:19.000Z,India,"@ShashiTharoor @TheQuint It's a proof that india is on-lease for 99 years (until the year 2046) and still the part of British commonwealth (colonies governed by the British monarch) so independence is just a 'transfer of power' to local people.
we are still the SLAVES to Britishers with proof you got.",[],[],"['ShashiTharoor', 'TheQuint']",['https://t.co/1x3iTePybX'],,
6,en,1440391843305320461,24705126, tapanrawal  DipankarDoc  ShashiTharoor  TheQuint Sadly photoshop won t help because they can be verified so you can t change the server side data ,1440523146579222528,False, tapanrawal  DipankarDoc  ShashiTharoor  TheQuint Sadly photoshop won t help because they can be verified so you can t change the server side data ,2021-09-22T03:47:36.000Z,India,@tapanrawal @DipankarDoc @ShashiTharoor @TheQuint Sadly photoshop won't help because they can be verified so you can't change the server side data.,[],[],"['tapanrawal', 'DipankarDoc', 'ShashiTharoor', 'TheQuint']",['https://t.co/EdFRVXmgAg'],,
7,en,1440391843305320461,24705126, DipankarDoc  ShashiTharoor  TheQuint Go and fake the Vax certificate from India   just try  I will do that for atleast 5 countries that has been allowed within 10 min  I give 24 hours for you to do for India  Being dense for white sahib ,1440522953213427721,False, DipankarDoc  ShashiTharoor  TheQuint Go and fake the Vax certificate from India   just try  I will do that for atleast 5 countries that has been allowed within 10 min  I give 24 hours for you to do for India  Being dense for white sahib ,2021-09-22T03:46:50.000Z,India,"@DipankarDoc @ShashiTharoor @TheQuint Go and fake the Vax certificate from India , just try. I will do that for atleast 5 countries that has been allowed within 10 min. I give 24 hours for you to do for India. Being dense for white sahib.",[],[],"['DipankarDoc', 'ShashiTharoor', 'TheQuint']",['https://t.co/TfCGra28cy'],,
8,en,1440391843305320461,24705126, ShashiTharoor  TheQuint SII should stop supply of Astra Zeneca vaccine to UK until this directive is corrected  Shameful behaviour by UK,1440522660975243279,False, ShashiTharoor  TheQuint SII should stop supply of Astra Zeneca vaccine to UK until this directive is corrected  Shameful behaviour by UK,2021-09-22T03:45:40.000Z,India,@ShashiTharoor @TheQuint SII should stop supply of Astra Zeneca vaccine to UK until this directive is corrected. Shameful behaviour by UK,[],[],"['ShashiTharoor', 'TheQuint']",[],,
9,en,1440391843305320461,24705126, DipankarDoc  ShashiTharoor  TheQuint Its very clear that  DipankarDoc has no idea how vaccine certificates work in India nor how they can be verified  You also seem to have no understanding of how they work in the US and how easy they are to fake there  Your entire tweet is pointless ,1440521744607969286,False, DipankarDoc  ShashiTharoor  TheQuint Its very clear that  DipankarDoc has no idea how vaccine certificates work in India nor how they can be verified  You also seem to have no understanding of how they work in the US and how easy they are to fake there  Your entire tweet is pointless ,2021-09-22T03:42:02.000Z,India,@DipankarDoc @ShashiTharoor @TheQuint Its very clear that @DipankarDoc has no idea how vaccine certificates work in India nor how they can be verified. You also seem to have no understanding of how they work in the US and how easy they are to fake there. Your entire tweet is pointless.,[],[],"['DipankarDoc', 'ShashiTharoor', 'TheQuint', 'DipankarDoc']",['https://t.co/eXu4WQJkDA'],,
