,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_es,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls
0,es,1440778137109860353,1081059475614826497,Pero definitivamente cambiaste mi vida ,1440778245817847811,False,Pero definitivamente cambiaste mi vida ,2021-09-22T20:41:16.000Z,Mexico,Pero definitivamente cambiaste mi vida.,[],[],[],[]
1,es,1440777337146994689,856603017340223488,Enserio unos pueden llegar asi nomas sin sacar cita  en un modulo de edad que aun no llega y exigir hasta la marca de la vacuna  eso es injusto   mivacunajalisco  VacunaCOVID19  vacunajalisco,1440778099432427522,False,Enserio unos pueden llegar asi nomas sin sacar cita  en un modulo de edad que aun no llega y exigir hasta la marca de la vacuna  eso es injusto   mivacunajalisco  VacunaCOVID19  vacunajalisco,2021-09-22T20:40:41.000Z,Mexico,"Enserio unos pueden llegar asi nomas sin sacar cita, en un modulo de edad que aun no llega y exigir hasta la marca de la vacuna, eso es injusto. #mivacunajalisco #VacunaCOVID19 #vacunajalisco",[],[],[],['https://t.co/5PwDudOLaz']
2,es,1440776031632195596,1046459087813316613, EsterLzaro1 Guardar vacunas ha sido un error   ,1440776280312451072,False, EsterLzaro1 Guardar vacunas ha sido un error   ,2021-09-22T20:33:28.000Z,Mexico,@EsterLzaro1 Guardar vacunas ha sido un error...,[],[],['EsterLzaro1'],[]
3,es,1440775148131389445,1376711125899866112, TaniSandinista3  MarcosTPU  mijamart88  krupskaya ny  BetetaGaby  E1Nacionalista  Nbalmaceda2  nic melcocha  nica rojaynegra  joseleewo Continuamos en la batalla    Nicaragua no se Detiene   VacunandonosPuebloQueVence,1440776251413725186,False, TaniSandinista3  MarcosTPU  mijamart88  krupskaya ny  BetetaGaby  E1Nacionalista  Nbalmaceda2  nic melcocha  nica rojaynegra  joseleewo Continuamos en la batalla    Nicaragua no se Detiene   VacunandonosPuebloQueVence,2021-09-22T20:33:21.000Z,Mexico,"@TaniSandinista3 @MarcosTPU @mijamart88 @krupskaya_ny @BetetaGaby @E1Nacionalista @Nbalmaceda2 @nic_melcocha @nica_rojaynegra @joseleewo Continuamos en la batalla... Nicaragua no se Detiene..
#VacunandonosPuebloQueVence",[],[],"['TaniSandinista3', 'MarcosTPU', 'mijamart88', 'krupskaya_ny', 'BetetaGaby', 'E1Nacionalista', 'Nbalmaceda2', 'nic_melcocha']",['https://t.co/mislmV435p']
4,es,1440774713479819268,48891107,Le dijeron que en EE UU no era obligaría y se fue del país cruzando por tierra todo el continente hasta la frontera México EE UU  allá la detuvieron y la mandaron deportada de vuelta a Puerto Príncipe ,1440775191651442693,False,Le dijeron que en EE UU no era obligaría y se fue del país cruzando por tierra todo el continente hasta la frontera México EE UU  allá la detuvieron y la mandaron deportada de vuelta a Puerto Príncipe ,2021-09-22T20:29:08.000Z,Mexico,Le dijeron que en EE.UU no era obligaría y se fue del país cruzando por tierra todo el continente hasta la frontera México-EE.UU. allá la detuvieron y la mandaron deportada de vuelta a Puerto Príncipe.,[],[],[],['https://t.co/aPuBE6vODo']
5,es,1440773478446034946,1253347484430147584,Dedicado a todos aquellos que se han vacunado sólo para poder viajar ,1440773751516262405,False,Dedicado a todos aquellos que se han vacunado sólo para poder viajar ,2021-09-22T20:23:25.000Z,Mexico,Dedicado a todos aquellos que se han vacunado sólo para poder viajar.,[],[],[],[]
6,es,1440772285577584640,1315710524911427591,Aprende más  https   t co 29chNdKCX8 IFHTranslates  NJInfoCovidSpanish,1440772338094538757,False,Aprende más  https   t co 29chNdKCX8 IFHTranslates  NJInfoCovidSpanish,2021-09-22T20:17:48.000Z,Mexico,"Aprende más: https://t.co/29chNdKCX8

#IFHTranslates #NJInfoCovidSpanish",[],"['IFHTranslates', 'NJInfoCovidSpanish']",[],['https://t.co/29chNdKCX8']
7,es,1440771632994344960,118864905, VTVcanal8 Que Dios no lo permita saben los efectos adversos y siguen no importa cuántos caigan ,1440772795533725699,False, VTVcanal8 Que Dios no lo permita saben los efectos adversos y siguen no importa cuántos caigan ,2021-09-22T20:19:37.000Z,Mexico,@VTVcanal8 Que Dios no lo permita saben los efectos adversos y siguen no importa cuántos caigan.,[],[],['VTVcanal8'],[]
8,es,1440769131335147523,33884545, CNNEE No se puede ser más PATÉTICO ,1440777350069702658,False, CNNEE No se puede ser más PATÉTICO ,2021-09-22T20:37:43.000Z,Mexico,@CNNEE 😂😂🤣🤣🤣No se puede ser más PATÉTICO!,"['🤣', '😂']",[],['CNNEE'],[]
9,es,1440769131335147523,33884545, CNNEE Hay que acostumbrarse a esa enfermedad saber como defender y dejar que el cuerpo crea su propio ati cuerpo esto es para mucho tiempo y la mejor defensa es la oración ,1440774737278345226,False, CNNEE Hay que acostumbrarse a esa enfermedad saber como defender y dejar que el cuerpo crea su propio ati cuerpo esto es para mucho tiempo y la mejor defensa es la oración ,2021-09-22T20:27:20.000Z,Mexico,@CNNEE Hay que acostumbrarse a esa enfermedad saber como defender y dejar que el cuerpo crea su propio ati cuerpo esto es para mucho tiempo y la mejor defensa es la oración.,[],[],['CNNEE'],['https://t.co/fYkBWWuaJv']
10,es,1440768822407876614,1123222631308722176, qrispal Está todo revuelto  estamos en una guerra y el 90  del mundo no se entera  En fin ,1440773769501413376,False, qrispal Está todo revuelto  estamos en una guerra y el 90  del mundo no se entera  En fin ,2021-09-22T20:23:29.000Z,Mexico,"@qrispal Está todo revuelto, estamos en una guerra y el 90% del mundo no se entera! En fin!",[],[],['qrispal'],[]
11,es,1440768822407876614,1123222631308722176, qrispal Ladran  Sancho  señal que cabalgamos,1440771422733815808,False, qrispal Ladran  Sancho  señal que cabalgamos,2021-09-22T20:14:10.000Z,Mexico,"@qrispal Ladran, Sancho, señal que cabalgamos",[],[],['qrispal'],[]
12,es,1440768751461273603,480800168, goldenbabeeee Se te está di y di en el grupooo,1440771983570976772,False, goldenbabeeee Se te está di y di en el grupooo,2021-09-22T20:16:23.000Z,Mexico,@goldenbabeeee Se te está di y di en el grupooo,[],[],['goldenbabeeee'],[]
13,es,1440767541052248066,127091958, Pashhy  ArgenidaRomero  miguel78910 A nuestro método favorito  A la Brigandina,1440778605638737926,False, Pashhy  ArgenidaRomero  miguel78910 A nuestro método favorito  A la Brigandina,2021-09-22T20:42:42.000Z,Mexico,@Pashhy @ArgenidaRomero @miguel78910 A nuestro método favorito. A la Brigandina,[],[],"['Pashhy', 'ArgenidaRomero', 'miguel78910']",[]
