,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls
0,en,1436655211846721537,813286, BarackObama Strong buy  novavax  NVAX  Novavax https   t co ogJBH2oHpl,1440935835596115969,False, BarackObama Strong buy  novavax  NVAX  Novavax https   t co ogJBH2oHpl,2021-09-23T07:07:29.000Z,USA,@BarackObama Strong buy #novavax #NVAX @Novavax https://t.co/ogJBH2oHpl,[],"['novavax', 'NVAX']","['BarackObama', 'Novavax']",[]
1,en,1436655211846721537,813286, BarackObama  MichelleObama BREAKING PART 2   US FDA Official  ‘Blow Darting African Americans Is Where We’re Going   Just Shoot Everyone’ Nazi Germany Registry  of Unvaccinated Americans  “Think About It Like The Jewish Star” Go Door To Door  amp  Stab Everyone  EoseFDA https   t co u5nJbRTZOD,1440851903777103881,False, BarackObama  MichelleObama BREAKING PART 2   US FDA Official  ‘Blow Darting African Americans Is Where We’re Going   Just Shoot Everyone’ Nazi Germany Registry  of Unvaccinated Americans  “Think About It Like The Jewish Star” Go Door To Door  amp  Stab Everyone  EoseFDA https   t co u5nJbRTZOD,2021-09-23T01:33:58.000Z,USA,"@BarackObama @MichelleObama BREAKING PART 2: @US_FDA Official: ‘Blow Darting African Americans Is Where We’re Going...Just Shoot Everyone’

'Nazi Germany Registry' of Unvaccinated Americans: “Think About It Like The Jewish Star”

'Go Door-To-Door &amp; Stab Everyone'

#ExposeFDA https://t.co/u5nJbRTZOD",['xp'],[],"['BarackObama', 'MichelleObama', 'US_FDA']",['https://t.co/ar4GzUxSMP']
2,en,1436655211846721537,813286, BarackObama https   t co huYWBRsreA it s going to be massive guys fasting up and get your bags ready  there will be a give away,1440843742194192388,False, BarackObama https   t co huYWBRsreA it s going to be massive guys fasting up and get your bags ready  there will be a give away,2021-09-23T01:01:32.000Z,USA,"@BarackObama https://t.co/huYWBRsreA it's going to be massive guys fasting up and get your bags ready, there will be a give away",[],[],['BarackObama'],['https://t.co/huYWBRsreA']
3,en,1436655211846721537,813286, BarackObama  MichelleObama Am speechless seeing myself having my first payouts after been scammed countless times  God bless you and your team  Hendrickspat7,1440716365527015435,False, BarackObama  MichelleObama Am speechless seeing myself having my first payouts after been scammed countless times  God bless you and your team  Hendrickspat7,2021-09-22T16:35:23.000Z,USA,"@BarackObama @MichelleObama Am speechless seeing myself having my first payouts after been scammed countless times, God bless you and your team @Hendrickspat7",[],[],"['BarackObama', 'MichelleObama']",['https://t.co/hhfV9TkrWQ']
4,en,1436655211846721537,813286, BarackObama Let s live a life of GRATITUDE and courage ,1440714096714792971,False, BarackObama Let s live a life of GRATITUDE and courage ,2021-09-22T16:26:22.000Z,USA,@BarackObama Let's live a life of GRATITUDE and courage!,[],[],['BarackObama'],[]
5,en,1436655211846721537,813286, BarackObama ShiftCam 230° Fisheye ProLens for iPhone Smartphones – Get Close to The Action to Capture Dynamic Shots – Full Frame All Around View of Your Environment  and immersive Selfieshttps   t co eoDoRBBIEVhttps   t co zdf0pYSbE9https   t co lf1rAMKqCphttps   t co yBXU9Rha3R https   t co t5046glFyW,1440666682310082579,False, BarackObama ShiftCam 230° Fisheye ProLens for iPhone Smartphones – Get Close to The Action to Capture Dynamic Shots – Full Frame All Around View of Your Environment  and immersive Selfieshttps   t co eoDoRBBIEVhttps   t co zdf0pYSbE9https   t co lf1rAMKqCphttps   t co yBXU9Rha3R https   t co t5046glFyW,2021-09-22T13:17:58.000Z,USA,"@BarackObama ShiftCam 230° Fisheye ProLens for iPhone Smartphones – Get Close to The Action to Capture Dynamic Shots – Full Frame All-Around View of Your Environment, and immersive Selfies

https://t.co/eoDoRBBIEV

https://t.co/zdf0pYSbE9

https://t.co/lf1rAMKqCp

https://t.co/yBXU9Rha3R https://t.co/t5046glFyW",[],[],['BarackObama'],['https://t.co/t2ybkxkc2k']
6,en,1436655211846721537,813286, BarackObama You and your  wife  big dick Mike are nothing but trash  ,1440542482706485250,False, BarackObama You and your  wife  big dick Mike are nothing but trash  ,2021-09-22T05:04:26.000Z,USA,"@BarackObama You and your ""wife"" big dick Mike are nothing but trash!!",[],[],['BarackObama'],[]
7,en,1436655211846721537,813286, BarackObama Improve your business productivitieshttps   t co 2vXtjjSMzz business  entrepreneur  marketing  marketingdigital  photography  cryptocurrency  branding  socialmedia  FreeCodeFridayContest  ConstitutionDay  taylor  Montero  Politico  JoeBiden   Kamalaharris  DrBiden  POTUS45,1440234057653121031,False, BarackObama Improve your business productivitieshttps   t co 2vXtjjSMzz business  entrepreneur  marketing  marketingdigital  photography  cryptocurrency  branding  socialmedia  FreeCodeFridayContest  ConstitutionDay  taylor  Montero  Politico  JoeBiden   Kamalaharris  DrBiden  POTUS45,2021-09-21T08:38:52.000Z,USA,"@BarackObama Improve your business productivities

https://t.co/2vXtjjSMzz

#business #entrepreneur #marketing #marketingdigital #photography #cryptocurrency #branding #socialmedia #FreeCodeFridayContest #ConstitutionDay #taylor #Montero #Politico #JoeBiden  #Kamalaharris #DrBiden #POTUS45",[],"['business', 'entrepreneur', 'marketing']",['BarackObama'],"['https://t.co/2vXtjjSMzz', 'https://t.co/Rp4uuzygIF']"
8,en,1436655211846721537,813286, BarackObama Dear sirI have started to plant trees to create awareness among the people and we kindly request you to support in this cause by donating money as much as u can because to take this further for the next green earth  209912722922IFSCESFB0005001Cge swa gmail com,1440189809671106560,False, BarackObama Dear sirI have started to plant trees to create awareness among the people and we kindly request you to support in this cause by donating money as much as u can because to take this further for the next green earth  209912722922IFSCESFB0005001Cge swa gmail com,2021-09-21T05:43:02.000Z,USA,"@BarackObama Dear sir🌲
I have started to plant trees to create awareness among the people and we kindly request you to support in this cause by donating money as much as u can because to take this further for the next green earth 🌍 209912722922
IFSC🌲ESFB0005001
Cge.swa@gmail.com","['🌲', '🌍']",[],['BarackObama'],['https://t.co/HeWL7D73Ft']
9,en,1436655211846721537,813286, BarackObama Praying for the families of lives lost in 9 11  Kudo s to the first responders   Prayers for the survivors  ,1440174035455791112,False, BarackObama Praying for the families of lives lost in 9 11  Kudo s to the first responders   Prayers for the survivors  ,2021-09-21T04:40:21.000Z,USA,@BarackObama Praying for the families of lives lost in 9-11. Kudo's to the first responders . Prayers for the survivors .,[],[],['BarackObama'],[]
