,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date
0,en,PeteButtigieg,226222147,True,1434167993769111552,Chasten and I are beyond thankful for all the kind wishes since first sharing the news that we’re becoming parents. We are delighted to welcome Penelope Rose and Joseph August Buttigieg to our family. https://t.co/kS89gb11Ax,[],[],[],[],USA,Chasten and I are beyond thankful for all the kind wishes since first sharing the news that we’re becoming parents  We are delighted to welcome Penelope Rose and Joseph August Buttigieg to our family  https   t co kS89gb11Ax,2021-09-04 15:00:00
1,en,PeteButtigieg,226222147,True,1427680484109262848,"For some time, Chasten and I have wanted to grow our family. We’re overjoyed to share that we’ve become parents! The process isn’t done yet and we’re thankful for the love, support, and respect for our privacy that has been offered to us. We can’t wait to share more soon.",[],[],[],[],USA,For some time  Chasten and I have wanted to grow our family  We’re overjoyed to share that we’ve become parents  The process isn’t done yet and we’re thankful for the love  support  and respect for our privacy that has been offered to us  We can’t wait to share more soon ,2021-08-17 17:00:00
2,en,PeteButtigieg,226222147,True,1407708526084980737,Happy Birthday @Chasten and here’s to a year of new possibilities and adventures ahead. 32 looks good on you! https://t.co/wYlSxleGKd,[],[],['Chasten'],[],USA,Happy Birthday  Chasten and here’s to a year of new possibilities and adventures ahead  32 looks good on you  https   t co wYlSxleGKd,2021-06-23 15:00:00
3,en,PeteButtigieg,226222147,True,1405147845418799106,"Three years since @Chasten and I said “I do” and I still can’t believe my good fortune. Happy anniversary, love! https://t.co/5js9Dk5OAu",[],[],['Chasten'],[],USA,Three years since  Chasten and I said “I do” and I still can’t believe my good fortune  Happy anniversary  love  https   t co 5js9Dk5OAu,2021-06-16 13:00:00
4,en,PeteButtigieg,226222147,True,1399883932808667137,So proud of @Chasten today - and every day. https://t.co/b6wQLR6irh,[],[],['Chasten'],['https://t.co/b6wQLR6irh'],USA,So proud of  Chasten today   and every day  https   t co b6wQLR6irh,2021-06-02 00:00:00
5,en,PeteButtigieg,226222147,True,1391503089996341248,"Thankful for my amazing Mom, and wishing every mother out there a wonderful #MothersDay today! https://t.co/VtD6VpvjlS",[],['MothersDay'],[],[],USA,Thankful for my amazing Mom  and wishing every mother out there a wonderful  MothersDay today  https   t co VtD6VpvjlS,2021-05-09 21:00:00
6,en,PeteButtigieg,226222147,True,1379203327825694722,"This year may be different, but still: Happy #DyngusDay to all who are celebrating in South Bend and beyond! https://t.co/1VhHWrO9os",[],['DyngusDay'],[],['https://t.co/1VhHWrO9os'],USA,This year may be different  but still  Happy  DyngusDay to all who are celebrating in South Bend and beyond  https   t co 1VhHWrO9os,2021-04-05 23:00:00
7,en,PeteButtigieg,226222147,True,1378699270187069441,Happy Easter!,[],[],[],[],USA,Happy Easter ,2021-04-04 13:00:00
8,en,PeteButtigieg,226222147,True,1366839528783290368,"I’ll always remember the warmth with which Vernon Jordan described attending college in Indiana, the first time we spoke—and then his remarkable grace in speaking of his own attempted assassination. His courage and leadership made America a much better place.",[],[],[],[],USA,I’ll always remember the warmth with which Vernon Jordan described attending college in Indiana  the first time we spoke—and then his remarkable grace in speaking of his own attempted assassination  His courage and leadership made America a much better place ,2021-03-02 20:00:00
9,en,PeteButtigieg,226222147,True,1362064860431974403,It’s encouraging to see many efforts shaping up so swiftly to help those impacted by the extreme weather in Texas - everyone can help.  https://t.co/s2N2V91GSH,[],[],[],['https://t.co/s2N2V91GSH'],USA,It’s encouraging to see many efforts shaping up so swiftly to help those impacted by the extreme weather in Texas   everyone can help   https   t co s2N2V91GSH,2021-02-17 16:00:00
